id 	 Energy 	 RxCoord
1 	 -0.00153 	 -2.64691
2 	 -0.00150 	 -2.48161
3 	 -0.00147 	 -2.31638
4 	 -0.00143 	 -2.15112
5 	 -0.00137 	 -1.98575
6 	 -0.00131 	 -1.82026
7 	 -0.00123 	 -1.65470
8 	 -0.00114 	 -1.48909
9 	 -0.00103 	 -1.32345
10 	 -0.00090 	 -1.15780
11 	 -0.00077 	 -0.99215
12 	 -0.00062 	 -0.82649
13 	 -0.00047 	 -0.66085
14 	 -0.00032 	 -0.49522
15 	 -0.00018 	 -0.32962
16 	 -0.00006 	 -0.16409
1 	 0.00000 	 0.00000
2 	 -0.00012 	 0.16415
3 	 -0.00063 	 0.32915
4 	 -0.00141 	 0.49336
5 	 -0.00212 	 0.65796
6 	 -0.00270 	 0.82265
7 	 -0.00321 	 0.98761
8 	 -0.00367 	 1.15305
9 	 -0.00413 	 1.31869
